VARIABLES = "x (m)" "y (m)" phi
ZONE I=51 J=21 
0.170000 0.180000 2.69004
0.180000 0.180000 2.61792
0.190000 0.180000 2.54955
0.200000 0.180000 2.48452
0.210000 0.180000 2.42245
0.220000 0.180000 2.36296
0.230000 0.180000 2.30571
0.240000 0.180000 2.25039
0.250000 0.180000 2.19671
0.260000 0.180000 2.14442
0.270000 0.180000 2.09333
0.280000 0.180000 2.04329
0.290000 0.180000 1.99420
0.300000 0.180000 1.94599
0.310000 0.180000 1.89867
0.320000 0.180000 1.85227
0.330000 0.180000 1.80689
0.340000 0.180000 1.76265
0.350000 0.180000 1.71970
0.360000 0.180000 1.67823
0.370000 0.180000 1.63845
0.380000 0.180000 1.60058
0.390000 0.180000 1.56486
0.400000 0.180000 1.53150
0.410000 0.180000 1.50074
0.420000 0.180000 1.47280
0.430000 0.180000 1.44787
0.440000 0.180000 1.42615
0.450000 0.180000 1.40780
0.460000 0.180000 1.39294
0.470000 0.180000 1.38170
0.480000 0.180000 1.37416
0.490000 0.180000 1.37038
0.500000 0.180000 1.37038
0.00000 0.200000 4.99076
0.0100000 0.200000 4.79966
0.0200000 0.200000 4.61825
0.0300000 0.200000 4.44646
0.0400000 0.200000 4.28415
0.0500000 0.200000 4.13114
0.0600000 0.200000 3.98720
0.0700000 0.200000 3.85207
0.0800000 0.200000 3.72543
0.0900000 0.200000 3.60693
0.100000 0.200000 3.49617
0.110000 0.200000 3.39273
0.120000 0.200000 3.29613
0.130000 0.200000 3.20590
0.140000 0.200000 3.12152
0.150000 0.200000 3.04245
0.160000 0.200000 2.96817
0.170000 0.200000 2.89814
0.180000 0.200000 2.83180
0.190000 0.200000 2.76865
0.200000 0.200000 2.70818
0.210000 0.200000 2.64992
0.220000 0.200000 2.59341
0.230000 0.200000 2.53828
0.240000 0.200000 2.48415
0.250000 0.200000 2.43074
0.260000 0.200000 2.37779
0.270000 0.200000 2.32513
0.280000 0.200000 2.27264
0.290000 0.200000 2.22025
0.300000 0.200000 2.16798
0.310000 0.200000 2.11589
0.320000 0.200000 2.06414
0.330000 0.200000 2.01289
0.340000 0.200000 1.96239
0.350000 0.200000 1.91292
0.360000 0.200000 1.86478
0.370000 0.200000 1.81830
0.380000 0.200000 1.77382
0.390000 0.200000 1.73167
0.400000 0.200000 1.69219
0.410000 0.200000 1.65570
0.420000 0.200000 1.62248
0.430000 0.200000 1.59281
0.440000 0.200000 1.56693
0.450000 0.200000 1.54504
0.460000 0.200000 1.52733
0.470000 0.200000 1.51392
0.480000 0.200000 1.50492
0.490000 0.200000 1.50041
0.500000 0.200000 1.50041
0.00000 0.220000 5.12604
0.0100000 0.220000 4.93506
0.0200000 0.220000 4.75461
0.0300000 0.220000 4.58463
0.0400000 0.220000 4.42495
0.0500000 0.220000 4.27538
0.0600000 0.220000 4.13566
0.0700000 0.220000 4.00549
0.0800000 0.220000 3.88450
0.0900000 0.220000 3.77228
0.100000 0.220000 3.66835
0.110000 0.220000 3.57220
0.120000 0.220000 3.48326
0.130000 0.220000 3.40092
0.140000 0.220000 3.32454
0.150000 0.220000 3.25345
0.160000 0.220000 3.18696
0.170000 0.220000 3.12439
0.180000 0.220000 3.06505
0.190000 0.220000 3.00827
0.200000 0.220000 2.95345
0.210000 0.220000 2.89998
0.220000 0.220000 2.84734
0.230000 0.220000 2.79505
0.240000 0.220000 2.74272
0.250000 0.220000 2.69000
0.260000 0.220000 2.63664
0.270000 0.220000 2.58246
